SOURCE_ID,TARGET_ID,EXP_TIME,RES_TIME
2183890,2866760,41.356105,43.401032
2183890,2270233,16.631451,21.559912
2183890,2365307,20.613465,23.161006
2183890,2304868,17.094688,18.064893
2183890,2616139,49.467762,51.694901
2183890,2845160,39.824140,43.602677
2183890,2758762,38.533605,44.007380
2183890,2503758,41.640891,38.669900
2183890,2789005,40.983507,44.862915
2183890,2805967,29.034630,30.833133
2183890,2538256,30.251146,35.723528
2183890,2525227,24.886415,25.073314
2183890,3056765,33.957609,38.918424
2183890,2754093,29.287833,30.111789
2183890,2356905,47.535308,44.160313
2183890,2378342,19.602232,21.901455
2183890,2702550,45.559448,46.618928
2183890,2507767,29.638923,33.466912
2183890,2550966,27.288447,31.298061
2183890,2296156,19.336275,24.899421
2183890,2404242,18.501493,21.208919
2183890,2594475,33.075208,35.285890
2183890,2477687,20.979312,23.725883
2183890,2291914,17.522885,18.075537
2183890,2257356,14.814731,16.809988
2183890,2188236,8.867260,9.913863
2183890,2425716,23.975730,28.537364
2183890,2594554,49.878376,53.953741
2183890,2572880,36.219688,36.062287
2183890,2974750,37.867569,43.754585
2183890,2750111,34.030410,40.528308
2183890,2551346,50.581485,47.270322
2183890,2818870,37.518696,38.076865
2183890,2827515,35.546080,39.329982
2183890,2572880,35.203053,36.062287
2183890,2499299,23.110671,23.725556
2183890,2611708,31.849849,35.021622
2183890,2166653,8.796761,13.986494
2183890,2974491,30.362488,33.269369
2183890,2252884,31.106894,36.908745
2183890,2680934,40.761327,45.827142
2183890,2097368,25.923500,33.115150
2183890,2252959,14.638854,19.499554
2183890,2391245,22.545307,22.793246
2183890,2434326,32.241475,36.786415
2183890,2382600,21.415056,21.995652
2183890,2131948,28.010878,29.014550
2183890,2702490,30.136112,35.448143
2183890,2745778,38.036321,40.562653
2183890,2421689,48.355694,44.671138
2183890,2421424,23.478064,26.939763
2183890,2309150,14.464025,19.402119
2183890,2693882,38.639782,44.472545
2183890,2529525,25.437827,27.710993
2183890,2551129,25.537782,28.102584
2183890,2304944,22.036812,30.883628
2183890,2780029,32.031032,32.952918
2183890,2352371,18.035411,18.469856
2183890,2421622,33.493475,37.802147
2183890,2460390,24.967467,27.189309
2183890,2434531,21.602320,24.578435
2183890,3065407,34.267420,39.512729
2183890,2546810,25.634461,28.373751
2183890,2391172,23.970446,29.017743
2183890,2568596,39.893276,40.810496
2183890,2551319,37.934311,41.144399
2183890,2641928,24.516070,27.528663
2183890,2542644,38.845235,37.610183
2183890,2404384,38.114266,47.829464
2183890,2110421,10.795577,11.682914
2183890,2555456,26.645788,28.914899
2183890,2469029,25.403154,27.486323
2183890,2426014,46.995184,43.371873
2183890,2400053,36.304797,46.279833
2183890,2279083,37.719951,41.294843
2183890,2499267,24.025754,26.489974
2183890,2170968,9.418367,13.140549
2183890,3039446,32.648060,35.643237
2183890,2343723,18.506362,18.217870
2183890,2205493,2.187224,2.988957
2183890,2408465,24.390281,27.906129
2183890,2313502,17.606594,17.214503
2183890,2551230,33.636422,36.514931
2183890,2261603,14.440446,19.812212
2183890,2805904,35.156455,36.007892
2183890,2637686,34.013961,35.870140
2183890,2542655,36.673261,38.402492
2183890,2274638,16.796475,18.373877
2183890,3009311,39.199590,45.545483
2183890,2538291,34.443731,35.877055
2183890,2482136,43.177440,42.126587
2183890,2399884,21.816402,23.501061
2183890,2386930,23.672648,22.121496
2183890,2330756,16.577966,18.831844
2183890,2257390,19.785344,23.890222
2183890,2339446,19.110559,20.739615
2183890,2555453,25.839454,28.209184
2183890,2183905,6.015370,5.813851
2183890,2257336,10.155302,11.599117
2183890,2218598,43.831147,38.939538
2183890,2253165,40.361232,42.674110
2183890,3043631,32.067897,34.011615
2183890,2970251,28.848441,32.752561
2183890,2551129,25.431113,28.102584
2183890,2361026,17.498377,20.360615
